Order_ID;Branch_Start;Start_Latitude;Start_Longitude;Branch_Drop;Pengirim;Penerima;Alamat Penerima;Weather_Condition;Vehicle_Type;Category;arrival_status;Quantity;Weight;Vehicle_Type_Assigned
ialx566343618;Kebon Kawung;-6.9123708;107.6016929;Depok;Michael Hubbard;Alexis Torres;Buah Batu No.149, RT 9/RW 6;Sunny;pick up truck;Clothing;Terlambat;2.0;2.4;pick up truck
rjto796129700;Dago;-6.8750079;107.6159521;Bekasi;Natalie Malone;Jasmine Jimenez;Setiabudi No.854, RT 9/RW 6;Sunny;pick up truck;Cosmetics;Terlambat;9.0;11.4;cargo truck
czjt755903822;Dago;-6.8750079;107.6159521;Gresik;Claudia Wells;Kevin Thompson;Buah Batu No.148, RT 9/RW 8;Sunny;cargo truck;Clothing;Lebih Cepat Sampai;2.0;7.4;van
wzoc344425774;Kebon Kawung;-6.9123708;107.6016929;Solok;April Murray;Kevin Clarke;Ciwidey No.733, RT 3/RW 1;Sunny;cargo truck;Shoes;Lebih Cepat Sampai;6.0;7.1;van
carl449634661;Ciwidey;-7.1027234;107.4641673;Samarinda;Ashley Juarez;Kelly Harrell;Jalan Braga No.255, RT 10/RW 9;Sunny;pick up truck;Snacks;Terlambat;7.0;12.4;cargo truck
bull762076829;Riau;-6.9059201;107.6209624;Tanjung Pinang;Emily Roman;Ryan Williams;Ciwidey No.515, RT 5/RW 4;Sunny;cargo truck;Books;Tepat Waktu;6.0;8.1;van
tsec016509855;Dago;-6.8750079;107.6159521;Tanjung Pinang;Kimberly Miles;Brooke Lambert;Cihampelas No.266, RT 6/RW 8;Sunny;cargo truck;Sports;Terlambat;2.0;14.5;cargo truck
sdod930462581;Pasir Kaliki;-6.9162852;107.5981344;Bogor;Alexander Faulkner;David Middleton;Cihampelas No.59, RT 4/RW 4;Sunny;van;Home;Terlambat;3.0;1.3;pick up truck
hkit681446136;Jalan Braga;-6.9168925;107.6091723;Palu;Pamela Jackson;Marissa Donovan;Riau No.352, RT 9/RW 6;Sunny;pick up truck;Shoes;Terlambat;10.0;5.4;van
buux572471968;Pasir Kaliki;-6.9162852;107.5981344;Solo;Scott Phillips;Yolanda Moore;Jalan Braga No.833, RT 4/RW 8;Sunny;cargo truck;Shoes;Tepat Waktu;9.0;7.6;van
iimu721647260;Lembong;-6.9165602;107.610072;Bandung;Shelby Jones;Brian Lozano;Setiabudi No.373, RT 1/RW 10;Sunny;cargo truck;Toys;Terlambat;8.0;5.6;van
opvd660426426;Cihampelas;-6.8989124;107.6043304;Gresik;Francis Garcia;Nicholas Ward;Kebon Kawung No.398, RT 6/RW 7;Sunny;pick up truck;Cosmetics;Terlambat;9.0;13.6;cargo truck
ecar963502319;Buah Batu;-6.9658122;107.637866;Banda Aceh;Ashley Ruiz;Alexis Henson;Jalan Braga No.374, RT 5/RW 3;Sunny;pick up truck;Electronics;Tepat Waktu;2.0;7.5;van
ohfh963147472;Kebon Kawung;-6.9123708;107.6016929;Banjarmasin;Daniel Pacheco;Charlene Hunt;Pasir Kaliki No.537, RT 2/RW 9;Sunny;pick up truck;Sports;Lebih Cepat Sampai;5.0;14.9;cargo truck
fyao616279169;Dago;-6.8750079;107.6159521;Sidoarjo;Robin Harris;Mr. Nathan Bailey;Riau No.46, RT 5/RW 9;Sunny;pick up truck;Shoes;Lebih Cepat Sampai;2.0;10.4;cargo truck
qpqb113436782;Dago;-6.8750079;107.6159521;Batam;Ashley Smith;Robert Taylor;Jalan Braga No.246, RT 1/RW 2;Sunny;pick up truck;Toys;Terlambat;3.0;13.6;cargo truck
ppri902151840;Cihampelas;-6.8989124;107.6043304;Pontianak;Mark Montgomery;Dawn Hampton;Jalan Braga No.33, RT 3/RW 2;Sunny;cargo truck;Clothing;Tepat Waktu;9.0;2.6;pick up truck
kdbu035077095;Buah Batu;-6.9658122;107.637866;Malang;Mark Ramsey;William Robinson;Dago No.861, RT 7/RW 4;Sunny;cargo truck;Books;Lebih Cepat Sampai;8.0;2.9;pick up truck
fmhd254099683;Jalan Braga;-6.9168925;107.6091723;Palu;Jonathan Roth;Robert Cook;Riau No.408, RT 9/RW 6;Sunny;pick up truck;Toys;Terlambat;8.0;6.7;van
vpun175942482;Dago;-6.8750079;107.6159521;Padang;Robert Harvey;Rebecca Benson;Riau No.453, RT 8/RW 7;Sunny;pick up truck;Sports;Terlambat;7.0;12.4;cargo truck
dahw022547497;Setiabudi;-6.8689938;107.5934024;Tanjung Pinang;Kevin Barnes;Carla Dean;Buah Batu No.535, RT 10/RW 8;Sunny;pick up truck;Electronics;Tepat Waktu;2.0;4.0;pick up truck
aeuj226729421;Dago;-6.8750079;107.6159521;South Tangerang;Mike Wall;Lauren Smith;Dago No.838, RT 5/RW 8;Sunny;pick up truck;Shoes;Lebih Cepat Sampai;7.0;14.2;cargo truck
qnwk753395424;Jalan Braga;-6.9168925;107.6091723;Semarang;Christian Evans;Timothy Nichols;Cihampelas No.347, RT 7/RW 7;Sunny;pick up truck;Toys;Terlambat;9.0;6.9;van
asgd164341326;Buah Batu;-6.9658122;107.637866;Semarang;Sarah Patterson;Brittney Cruz;Buah Batu No.617, RT 1/RW 9;Sunny;pick up truck;Electronics;Terlambat;1.0;6.2;van
dmrl564554163;Kebon Kawung;-6.9123708;107.6016929;Cilegon;Tina Robles;Isaac Hamilton;Riau No.753, RT 9/RW 3;Sunny;pick up truck;Clothing;Terlambat;3.0;14.8;cargo truck
ljep947754095;Ciwidey;-7.1027234;107.4641673;Solok;Jennifer Lopez;Katherine Snyder;Riau No.866, RT 6/RW 5;Sunny;pick up truck;Shoes;Tepat Waktu;10.0;1.5;pick up truck
wypw496102732;Setiabudi;-6.8689938;107.5934024;Banda Aceh;David Burns;Hannah Clark;Cihampelas No.952, RT 5/RW 9;Sunny;van;Sports;Tepat Waktu;7.0;1.5;pick up truck
erap841821582;Pasir Kaliki;-6.9162852;107.5981344;Depok;Jamie Burgess;Mary Scott;Jalan Braga No.884, RT 1/RW 7;Sunny;pick up truck;Grocery;Lebih Cepat Sampai;10.0;6.1;van
hoxq128553542;Dago;-6.8750079;107.6159521;Sorong;Patricia Strickland;Heather Nelson;Cihampelas No.904, RT 1/RW 5;Sunny;cargo truck;Grocery;Lebih Cepat Sampai;8.0;5.9;van
iqem237229463;Pasir Kaliki;-6.9162852;107.5981344;Samarinda;Michele Smith;Jessica Gibson;Kebon Kawung No.669, RT 9/RW 1;Sunny;pick up truck;Cosmetics;Tepat Waktu;10.0;14.1;cargo truck
glsd963477325;Cihampelas;-6.8989124;107.6043304;Medan;William Willis;Derek Palmer;Cihampelas No.473, RT 7/RW 8;Sunny;pick up truck;Clothing;Lebih Cepat Sampai;9.0;6.7;van
zhhx122382345;Pasir Kaliki;-6.9162852;107.5981344;Jayapura;Mary Nguyen;Tamara Carter;Cihampelas No.800, RT 2/RW 4;Sunny;pick up truck;Toys;Tepat Waktu;4.0;15.0;cargo truck
pkqs694908430;Cihampelas;-6.8989124;107.6043304;Pagar Alam;Susan Meyer;Douglas Rodriguez;Ciwidey No.543, RT 3/RW 4;Sunny;pick up truck;Electronics;Lebih Cepat Sampai;2.0;6.3;van
xdao434795901;Dago;-6.8750079;107.6159521;Medan;Erica Graves;Erin Blair;Buah Batu No.342, RT 6/RW 2;Sunny;pick up truck;Toys;Terlambat;6.0;4.0;pick up truck
hqwk443892657;Kebon Kawung;-6.9123708;107.6016929;Pagar Alam;Kevin Estrada;Rachel Wilson;Setiabudi No.598, RT 3/RW 5;Sunny;pick up truck;Sports;Tepat Waktu;6.0;1.2;pick up truck
blgx713939207;Cihampelas;-6.8989124;107.6043304;Solok;Nancy Wolfe;Daniel Taylor;Lembong No.560, RT 3/RW 5;Sunny;pick up truck;Cosmetics;Terlambat;6.0;12.5;cargo truck
dmps249322564;Dago;-6.8750079;107.6159521;Jambi;Rebecca Davis;Linda Watkins;Lembong No.984, RT 1/RW 6;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;6.0;8.9;van
vavf041518880;Buah Batu;-6.9658122;107.637866;Kupang;Emma Phillips;Courtney Nichols;Buah Batu No.983, RT 3/RW 5;Sunny;pick up truck;Snacks;Lebih Cepat Sampai;8.0;14.5;cargo truck
oric826953147;Lembong;-6.9165602;107.610072;Bekasi;David Kelley;Lisa Valenzuela;Setiabudi No.844, RT 1/RW 8;Sunny;pick up truck;Electronics;Terlambat;1.0;11.4;cargo truck
jrdt044319812;Dago;-6.8750079;107.6159521;Mataram;Samantha Ellis;Kimberly Jenkins;Pasir Kaliki No.432, RT 6/RW 10;Sunny;pick up truck;Home;Lebih Cepat Sampai;2.0;5.3;van
